sample_id,sample_index,degradation_types,degradation_levels,tool_name,tool_description,success,baseline_psnr,baseline_ssim,baseline_lpips,restored_psnr,restored_ssim,restored_lpips,psnr_improvement,ssim_improvement,lpips_improvement
sample_48,48,dark,medium,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.626062008634573,0.8187817764204816,0.15547412633895874,-0.2229009906740984,-0.060969071340386205,-0.10919023305177689
sample_48,48,dark,medium,swinir_super_resolution,SwinIR超分辨率,True,17.84896299930867,0.8797508477608678,0.046283893287181854,16.92672685412747,0.7704530004785571,0.26610806584358215,-0.922236145181202,-0.10929784728231062,-0.2198241725564003
sample_48,48,dark,medium,restormer_motion_deblurring,Restormer运动去模糊,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.9180036858479,0.8829157071395844,0.052566222846508026,0.06904068653922835,0.003164859378716689,-0.006282329559326172
sample_48,48,dark,medium,restormer_defocus_deblurring,Restormer散焦去模糊,True,17.84896299930867,0.8797508477608678,0.046283893287181854,19.31639926913138,0.829416654770959,0.10604468733072281,1.4674362698227092,-0.05033419298990871,-0.059760794043540955
sample_48,48,dark,medium,restormer_deraining,Restormer去雨,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.728984469696762,0.8767601522438793,0.06226376071572304,-0.11997852961190958,-0.0029906955169884952,-0.015979867428541183
sample_48,48,dark,medium,xrestormer_motion_deblurring,XRestormer运动去模糊,True,17.84896299930867,0.8797508477608678,0.046283893287181854,14.525674675408366,0.5728610009060707,0.3665637969970703,-3.3232883239003055,-0.30688984685479703,-0.32027990370988846
sample_48,48,dark,medium,xrestormer_deraining,XRestormer去雨,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.792520206154492,0.8777487707821733,0.04859989881515503,-0.05644279315417933,-0.002002076978694478,-0.002316005527973175
sample_48,48,dark,medium,mprnet_denoising,MPRNet去噪,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.77761934322258,0.8251516572025642,0.13502328097820282,-0.07134365608609272,-0.054599190558303534,-0.08873938769102097
sample_48,48,dark,medium,mprnet_motion_deblurring,MPRNet运动去模糊,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.908108514135368,0.8852826054890377,0.05595647916197777,0.059145514826695944,0.005531757728169939,-0.009672585874795914
sample_48,48,dark,medium,mprnet_deraining,MPRNet去雨,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.258064641670195,0.8390521649280004,0.09387972950935364,-0.5908983576384763,-0.04069868283286737,-0.04759583622217178
sample_48,48,dark,medium,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.8412575634081,0.8727632561733195,0.05592402443289757,-0.007705435900572155,-0.0069875915875482475,-0.009640131145715714
sample_48,48,dark,medium,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,17.84896299930867,0.8797508477608678,0.046283893287181854,18.003462627722474,0.8901882182177506,0.1014353334903717,0.15449962841380227,0.010437370456882866,-0.05515144020318985
sample_48,48,dark,medium,dehazeformer_dehaze,DehazeFormer去雾,True,17.84896299930867,0.8797508477608678,0.046283893287181854,14.018626645078314,0.665625968207197,0.1287195086479187,-3.830336354230358,-0.21412487955367077,-0.08243561536073685
sample_44,44,dark,medium,swinir_denoising,SwinIR去噪,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.366683421899925,0.6786815587986214,0.18500694632530212,0.007526722171956379,0.0036145283314474863,-0.05020946264266968
sample_44,44,dark,medium,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.30785838210377,0.663404562731455,0.16502127051353455,-0.05129831762419812,-0.011662467735718884,-0.0302237868309021
sample_44,44,dark,medium,swinir_super_resolution,SwinIR超分辨率,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.412370339207964,0.6821683617150618,0.18558558821678162,0.05321363947999558,0.007101331247887921,-0.05078810453414917
sample_44,44,dark,medium,restormer_motion_deblurring,Restormer运动去模糊,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.334859647505553,0.6647459686661229,0.16346339881420135,-0.024297052222415516,-0.010321061801050968,-0.02866591513156891
sample_44,44,dark,medium,restormer_defocus_deblurring,Restormer散焦去模糊,True,17.35915669972797,0.6750670304671739,0.13479748368263245,18.121271023854103,0.7380977552683609,0.2110642045736313,0.7621143241261343,0.06303072480118699,-0.07626672089099884
sample_44,44,dark,medium,restormer_deraining,Restormer去雨,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.13250913235058,0.6114658188328076,0.14445112645626068,-0.22664756737738756,-0.06360121163436627,-0.009653642773628235
sample_44,44,dark,medium,xrestormer_motion_deblurring,XRestormer运动去模糊,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.099545213361566,0.6222622832015624,0.24072393774986267,-0.25961148636640274,-0.05280474726561146,-0.10592645406723022
sample_44,44,dark,medium,xrestormer_deraining,XRestormer去雨,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.310795343872876,0.6737829849787369,0.13862213492393494,-0.048361355855092825,-0.001284045488436969,-0.0038246512413024902
sample_44,44,dark,medium,mprnet_denoising,MPRNet去噪,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.372206841589712,0.6652057100155065,0.16258743405342102,0.01305014186174347,-0.009861320451667321,-0.027789950370788574
sample_44,44,dark,medium,mprnet_motion_deblurring,MPRNet运动去模糊,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.3525658639287,0.6674575798092262,0.15321369469165802,-0.006590835799269001,-0.007609450657947714,-0.018416211009025574
sample_44,44,dark,medium,mprnet_deraining,MPRNet去雨,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.309577929967432,0.6639733311589898,0.15311838686466217,-0.049578769760536545,-0.011093699308184046,-0.018320903182029724
sample_44,44,dark,medium,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.360976372807265,0.6707883384787138,0.13484454154968262,0.0018196730792965354,-0.004278691988460093,-4.70578670501709e-05
sample_44,44,dark,medium,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,17.35915669972797,0.6750670304671739,0.13479748368263245,17.560272734621876,0.7527948579258917,0.20545810461044312,0.20111603489390717,0.07772782745871787,-0.07066062092781067
sample_44,44,dark,medium,dehazeformer_dehaze,DehazeFormer去雾,True,17.35915669972797,0.6750670304671739,0.13479748368263245,14.987556270526479,0.5044486047013522,0.18904095888137817,-2.3716004292014894,-0.17061842576582165,-0.05424347519874573
sample_43,43,defocus blur,medium,swinir_denoising,SwinIR去噪,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.76246992065018,0.817362746124707,0.35637521743774414,-0.10004770533086571,-0.025478461485974435,-0.03578662872314453
sample_43,43,defocus blur,medium,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.939188021721428,0.8312241951263922,0.3582325875759125,0.0766703957403827,-0.011617012484289257,-0.037643998861312866
sample_43,43,defocus blur,medium,swinir_super_resolution,SwinIR超分辨率,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.513042593832225,0.7769447823361633,0.27706682682037354,-0.3494750321488205,-0.06589642527451822,0.043521761894226074
sample_43,43,defocus blur,medium,restormer_motion_deblurring,Restormer运动去模糊,True,26.862517625981045,0.8428412076106815,0.3205885887145996,29.34503342952782,0.8900357196785101,0.24246008694171906,2.482515803546775,0.04719451206782865,0.07812850177288055
sample_43,43,defocus blur,medium,restormer_defocus_deblurring,Restormer散焦去模糊,True,26.862517625981045,0.8428412076106815,0.3205885887145996,29.014280978948477,0.900934292565465,0.16676220297813416,2.151763352967432,0.05809308495478349,0.15382638573646545
sample_43,43,defocus blur,medium,restormer_deraining,Restormer去雨,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.882782389652732,0.8432794545507907,0.32833877205848694,0.020264763671686836,0.0004382469401091882,-0.007750183343887329
sample_43,43,defocus blur,medium,xrestormer_motion_deblurring,XRestormer运动去模糊,True,26.862517625981045,0.8428412076106815,0.3205885887145996,29.215495933624943,0.8886090590302934,0.19149650633335114,2.352978307643898,0.04576785141961193,0.12909208238124847
sample_43,43,defocus blur,medium,xrestormer_deraining,XRestormer去雨,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.83250479252741,0.8396717914357801,0.324166476726532,-0.030012833453636034,-0.003169416174901407,-0.003577888011932373
sample_43,43,defocus blur,medium,mprnet_denoising,MPRNet去噪,True,26.862517625981045,0.8428412076106815,0.3205885887145996,26.732325744945264,0.8376171075410559,0.366894006729126,-0.13019188103578117,-0.005224100069625592,-0.04630541801452637
